SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,player_name,season,player_id,season_type
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500208,2025-11-11T00:00:00,NYK vs. MEM,W,31.671666666666667,7,17,0.412,3,8,0.375,4,5,0.8,4,9,13,4,2,3,2,1,4,4,21,0,55.6,1,0,51.0,1,1,1,1,20,11,8,22,4,2,15,21,21,23,7,12,9,5,17,1,1,11,14,19,16,23,5,1,1,7,1,31:40,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500192,2025-11-09T00:00:00,NYK vs. BKN,W,28.333333333333332,10,17,0.588,0,2,0.0,8,8,1.0,3,9,12,2,2,2,0,3,5,6,28,21,49.4,1,0,46.0,1,1,1,1,29,7,8,4,27,26,27,7,11,1,12,12,13,18,17,2,15,28,24,9,9,2,9,1,1,9,1,28:20,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500175,2025-11-05T00:00:00,NYK vs. MIN,W,31.26,5,11,0.455,1,5,0.2,4,4,1.0,3,7,10,4,4,0,2,0,5,3,15,15,35.0,1,0,34.0,1,1,1,1,21,21,23,14,17,13,22,21,23,1,12,21,21,5,3,19,1,1,24,24,23,6,21,1,1,22,1,31:16,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500159,2025-11-03T00:00:00,NYK vs. WAS,W,30.483333333333334,12,24,0.5,3,8,0.375,6,7,0.857,5,8,13,5,3,2,0,2,4,7,33,13,59.1,1,0,58.0,1,1,1,1,25,5,2,9,4,2,15,15,14,18,2,17,9,2,8,2,15,21,14,7,6,7,4,1,1,5,1,30:29,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500153,2025-11-02T00:00:00,NYK vs. CHI,W,36.13333333333333,5,11,0.455,2,2,1.0,8,8,1.0,3,12,15,5,1,0,2,1,1,6,20,12,50.5,1,0,46.0,1,1,1,1,5,21,23,14,10,26,1,7,11,1,12,3,4,2,24,19,1,11,1,9,17,9,8,1,1,9,1,36:08,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500023,2025-10-31T00:00:00,NYK @ CHI,L,31.711666666666666,6,14,0.429,1,5,0.2,9,9,1.0,2,8,10,4,2,0,1,1,2,6,22,7,41.0,1,0,39.0,1,22,22,22,19,14,16,18,17,13,22,4,6,1,19,17,21,5,17,19,8,11,3,9,12,12,16,1,1,16,1,31:43,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500125,2025-10-28T00:00:00,NYK @ MIL,L,35.388333333333335,2,12,0.167,0,3,0.0,4,4,1.0,5,7,12,1,3,1,1,2,5,4,8,0,26.9,0,0,25.0,1,22,22,22,8,29,21,31,27,24,27,21,23,1,2,21,13,26,8,8,8,21,24,19,30,23,30,23,1,30,1,35:23,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500108,2025-10-26T00:00:00,NYK @ MIA,L,35.85666666666667,6,14,0.429,2,8,0.25,1,2,0.5,1,17,18,2,3,1,2,0,5,1,15,2,45.6,1,0,43.0,1,22,22,22,6,14,16,18,10,2,18,29,27,29,26,1,1,18,8,8,1,1,24,30,23,21,13,1,1,12,1,35:51,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500018,2025-10-24T00:00:00,NYK vs. BOS,W,33.071666666666665,6,16,0.375,4,6,0.667,10,12,0.833,6,7,13,3,5,1,1,2,2,12,26,6,47.1,1,0,50.0,1,1,1,1,15,14,10,25,2,7,3,2,2,20,1,21,9,14,1,8,8,21,3,1,10,14,11,1,1,8,1,33:04,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500003,2025-10-22T00:00:00,NYK vs. CLE,W,30.991666666666667,5,12,0.417,1,4,0.25,8,9,0.889,1,10,11,2,3,0,0,0,4,5,19,2,32.2,1,0,33.0,1,1,1,1,23,21,21,21,17,18,18,7,6,17,26,7,18,18,8,19,15,1,14,14,19,21,27,1,1,25,1,30:60,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500234,2025-11-16T00:00:00,SAC @ SAS,L,36.18333333333333,7,14,0.5,0,1,0.0,3,4,0.75,3,10,13,5,3,3,0,0,3,5,17,-7,46.1,1,0,41.0,1,3,3,3,5,5,4,6,5,8,5,5,4,4,7,3,4,3,3,1,3,1,2,4,6,3,3,1,1,3,1,36:11,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500044,2025-11-14T00:00:00,SAC @ MIN,L,39.35,14,24,0.583,1,2,0.5,5,8,0.625,4,7,11,3,2,0,1,1,5,8,34,-17,52.7,1,0,51.0,1,3,3,3,1,1,1,4,1,3,1,3,3,6,4,9,8,6,6,9,1,5,8,1,1,7,1,1,1,1,1,39:21,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500223,2025-11-12T00:00:00,SAC vs. ATL,L,26.4,4,9,0.444,0,1,0.0,4,4,1.0,0,5,5,2,4,2,0,1,2,3,12,-38,23.0,0,0,23.0,1,3,3,3,10,10,9,9,5,8,5,4,4,1,11,11,11,10,2,3,3,5,1,6,8,11,11,10,1,11,1,26:24,1,Domantas Sabonis,2025-26,1627734,Regular Season
